Type,X,Y,Service Time ,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,50,100,0,,,,,,75,10
1,22,59,15,,,,,,,
1,42,41,15,,,,,,,
2,15,82,5,300.0,600.0,4.0,1.0,9999.0,,
2,7,31,5,300.0,600.0,1.0,1.0,9999.0,,
3,7,31,5,300.0,600.0,1.0,1.0,720.0,,
2,16,48,5,0.0,300.0,2.0,1.0,9999.0,,
3,16,48,5,0.0,300.0,1.0,1.0,420.0,,
2,51,4,5,60.0,180.0,4.0,1.0,9999.0,,
3,92,69,5,0.0,300.0,2.0,1.0,720.0,,
2,57,17,5,0.0,300.0,1.0,1.0,9999.0,,
2,96,42,5,300.0,600.0,1.0,1.0,9999.0,,
3,96,42,5,300.0,600.0,2.0,1.0,720.0,,
3,55,2,5,0.0,300.0,2.0,1.0,420.0,,
2,97,66,5,60.0,180.0,1.0,1.0,9999.0,,
3,97,66,5,60.0,180.0,2.0,1.0,720.0,,
2,21,18,5,300.0,600.0,1.0,1.0,9999.0,,
2,23,47,5,180.0,300.0,2.0,1.0,9999.0,,
3,23,47,5,180.0,300.0,4.0,1.0,720.0,,
3,29,9,5,0.0,300.0,4.0,1.0,480.0,,
2,81,92,5,300.0,600.0,3.0,1.0,9999.0,,
2,33,84,5,300.0,600.0,2.0,1.0,9999.0,,
2,15,4,5,300.0,420.0,2.0,1.0,9999.0,,
2,21,12,5,300.0,420.0,3.0,1.0,9999.0,,
3,21,12,5,300.0,420.0,3.0,1.0,720.0,,
3,45,70,5,60.0,180.0,2.0,1.0,840.0,,
2,53,38,5,300.0,600.0,3.0,1.0,9999.0,,
3,52,62,5,0.0,300.0,1.0,1.0,840.0,,
2,36,27,5,0.0,300.0,2.0,1.0,9999.0,,
2,54,44,5,300.0,600.0,3.0,1.0,9999.0,,
3,54,44,5,300.0,600.0,3.0,1.0,720.0,,
2,81,90,5,300.0,600.0,3.0,1.0,9999.0,,
3,81,90,5,300.0,600.0,2.0,1.0,840.0,,
3,53,24,5,60.0,180.0,2.0,1.0,840.0,,
2,71,8,5,420.0,540.0,1.0,1.0,9999.0,,
3,71,8,5,420.0,540.0,2.0,1.0,840.0,,
3,40,25,5,0.0,300.0,1.0,1.0,480.0,,
3,83,69,5,0.0,300.0,4.0,1.0,480.0,,
2,33,15,5,0.0,300.0,1.0,1.0,9999.0,,
3,33,15,5,0.0,300.0,2.0,1.0,480.0,,
3,28,81,5,420.0,540.0,3.0,1.0,840.0,,
2,24,20,5,0.0,300.0,3.0,1.0,9999.0,,
3,24,20,5,0.0,300.0,1.0,1.0,720.0,,
2,22,84,5,180.0,300.0,4.0,1.0,9999.0,,
3,22,84,5,180.0,300.0,4.0,1.0,480.0,,
2,97,3,5,60.0,180.0,1.0,1.0,9999.0,,
3,97,3,5,60.0,180.0,1.0,1.0,420.0,,
3,11,2,5,0.0,300.0,4.0,1.0,420.0,,
3,24,77,5,300.0,600.0,2.0,1.0,720.0,,
2,31,59,5,300.0,600.0,2.0,1.0,9999.0,,
3,31,59,5,300.0,600.0,4.0,1.0,840.0,,
3,56,81,5,0.0,300.0,4.0,1.0,420.0,,
2,24,88,5,300.0,600.0,3.0,1.0,9999.0,,
3,24,88,5,300.0,600.0,2.0,1.0,840.0,,
2,34,32,5,0.0,300.0,1.0,1.0,9999.0,,
2,94,94,5,300.0,420.0,1.0,1.0,9999.0,,
3,94,94,5,300.0,420.0,2.0,1.0,840.0,,
2,43,10,5,60.0,180.0,2.0,1.0,9999.0,,
2,25,18,5,300.0,600.0,4.0,1.0,9999.0,,
2,74,95,5,60.0,180.0,3.0,1.0,9999.0,,
3,74,95,5,60.0,180.0,4.0,1.0,480.0,,
2,57,51,5,0.0,300.0,4.0,1.0,9999.0,,
2,71,36,5,0.0,300.0,1.0,1.0,9999.0,,
3,71,36,5,0.0,300.0,1.0,1.0,720.0,,
2,67,50,5,60.0,180.0,1.0,1.0,9999.0,,
2,61,0,5,0.0,300.0,3.0,1.0,9999.0,,
2,46,2,5,300.0,600.0,4.0,1.0,9999.0,,
2,75,53,5,420.0,540.0,4.0,1.0,9999.0,,
2,62,78,5,0.0,300.0,1.0,1.0,9999.0,,
3,96,98,5,0.0,300.0,3.0,1.0,720.0,,
2,69,11,5,60.0,180.0,3.0,1.0,9999.0,,
3,92,89,5,0.0,300.0,1.0,1.0,840.0,,
2,49,11,5,300.0,420.0,3.0,1.0,9999.0,,
2,62,49,5,300.0,600.0,4.0,1.0,9999.0,,
2,91,69,5,420.0,540.0,1.0,1.0,9999.0,,
2,96,1,5,300.0,600.0,2.0,1.0,9999.0,,
